priority_rank,gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id_base,gencode_symbol,gene_type,gencode_release,host_gene,target_family,translation_target,protein_coding,gencode_pseudogene,symbol_pseudogene_like,curated_host_protein_coding_target,significant,passes_effect_size,significant_with_effect,log2FoldChange_strict,padj_strict,significant_strict,direction_agreement,dataset_count,significant_dataset_count,mean_log2_fold_change,direction_consistency,log2fc_GSE278320_primary,log2fc_GSE287860,log2fc_GSE288000_NTC,padj_GSE278320_primary,padj_GSE287860,padj_GSE288000_NTC,n_infected_samples,pearson_r_viral_load,pearson_p_viral_load,spearman_r_viral_load,spearman_p_viral_load,viral_load_correlation_q,candidate_priority_score,priority_interpretation
16,ENSG00000063046.18,EIF4B,575.4764267035536,-2.0729162729545703,0.2742110098357153,-7.559566168391603,4.044159247500803e-14,8.344665391484628e-13,ENSG00000063046,EIF4B,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,-1.9991737821340945,1.604167691214438e-06,True,True,3,3.0,-1.0504413917544,1.0,-2.0729162729545703,-0.4647667172324102,-0.6136411850762195,8.344665391484628e-13,9.472171649344344e-12,3.0868479910986597e-07,6,-0.20829570183422053,0.6920751204089779,-0.4285714285714286,0.3965014577259473,0.9462584097748057,8.869670242348993,cross-dataset conserved translation factor
17,ENSG00000109475.17,RPL34,211.23478819804916,-1.8773797993492107,0.3079315893026325,-6.096743122720476,1.0825126073232422e-09,1.1242666650342816e-08,ENSG00000109475,RPL34,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-1.610310600085504,4.232948259204288e-05,True,True,3,3.0,-0.8960265923107343,1.0,-1.8773797993492107,-0.2971583119374109,-0.5135416656455812,1.1242666650342816e-08,0.0012907984516171,7.69664337390147e-05,6,0.31058527543903075,0.5491021136807452,0.2571428571428572,0.6227871720116619,0.9462584097748057,8.866816927657839,cross-dataset conserved translation factor
18,ENSG00000174748.22,RPL15,706.157577056546,-1.7292620577997757,0.3950335823189406,-4.377506458181601,1.200448051735435e-05,5.5970225573868234e-05,ENSG00000174748,RPL15,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-1.623312716891161,0.0055918559210634,True,True,3,3.0,-0.8224213017998259,1.0,-1.7292620577997757,-0.2760318607718269,-0.4619699868278749,5.5970225573868234e-05,9.603980123035392e-05,0.0002178740267497,6,0.3015619241076114,0.5613690733214641,0.028571428571428574,0.9571545189504373,0.9462584097748057,8.85998092783813,cross-dataset conserved translation factor
19,ENSG00000063177.13,RPL18,535.7962837317442,-1.5960648149559462,0.318679008389711,-5.008377624308803,5.489075860082981e-07,3.41657375880165e-06,ENSG00000063177,RPL18,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-1.3485257192759526,0.0016640573319476,True,True,3,3.0,-0.7764611192922047,1.0,-1.5960648149559462,-0.290185614572814,-0.4431329283478539,3.41657375880165e-06,0.0010518899229965,0.0169985538920338,6,0.34725705486613356,0.5000518411815416,0.2571428571428572,0.6227871720116619,0.9462584097748057,8.852488307940078,cross-dataset conserved translation factor
20,ENSG00000163577.8,EIF5A2,51.85271829702807,1.555477623977144,0.2967829501995785,5.241128652879579,1.5959738985947806e-07,1.1092476331533515e-06,ENSG00000163577,EIF5A2,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,1.4215309155935822,0.0025482881531357,True,True,3,3.0,1.6924855798836884,1.0,1.555477623977144,1.6606656420169124,1.8613134736570096,1.1092476331533515e-06,0.0053243127241269,0.0369130743889856,6,0.4481647912113473,0.37276013881706827,0.3142857142857143,0.5440932944606415,0.9264161857994898,8.846833920070448,cross-dataset conserved translation factor
21,ENSG00000071082.11,RPL31,366.53130149216656,-1.4646685480070374,0.4010589277421722,-3.652003350860763,0.0002602024888997,0.0008718722204491,ENSG00000071082,RPL31,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-1.2314619176069572,0.0321121961192306,True,True,3,3.0,-0.8060827459582368,1.0,-1.4646685480070374,-0.3912463230613037,-0.5623333668063693,0.0008718722204491,9.113414382114707e-06,8.621859429221084e-06,6,0.38965271371578036,0.44510126659518345,0.14285714285714288,0.7871720116618076,0.9264161857994898,8.83980284761926,cross-dataset conserved translation factor
22,ENSG00000175390.15,EIF3F,213.15013192424328,-1.2930986121678836,0.3635987176713297,-3.556389363663167,0.0003759867124948,0.0012066318716176,ENSG00000175390,EIF3F,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,-1.2164356428042369,0.0325040062542562,True,True,3,3.0,-0.7469156459044034,1.0,-1.2930986121678836,-0.4014448533892815,-0.5462034721560453,0.0012066318716176,1.8532739106462195e-08,1.8658024318293113e-05,6,-0.46440910698981364,0.3534672466857298,-0.6571428571428573,0.1561749271137024,0.9264161857994898,8.836390405376028,cross-dataset conserved translation factor
23,ENSG00000170889.14,RPS9,637.1659764968356,-1.8235420518412873,0.3637957022058671,-5.012544240584154,5.371502013404364e-07,3.3529610450014077e-06,ENSG00000170889,RPS9,protein_coding,v44,True,RPS,True,True,False,False,True,True,True,True,-1.4419548147650123,0.0005597673755983,True,True,3,3.0,-0.8349196484715217,1.0,-1.8235420518412873,-0.2518009740808122,-0.4294159194924659,3.3529610450014077e-06,0.0002889772998578,0.0086868472869534,6,0.23278438916686234,0.6571305430474814,0.3714285714285715,0.4684781341107872,0.9462584097748057,8.828815269612234,cross-dataset conserved translation factor
24,ENSG00000106263.19,EIF3B,307.43563910612744,-1.5469196224879147,0.3205998049692262,-4.82507973651575,1.3994726724050883e-06,8.07473518125793e-06,ENSG00000106263,EIF3B,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,-1.5339502711023132,0.0021078155873534,True,True,3,3.0,0.1126597735273746,0.6666666666666666,-1.5469196224879147,0.8249236678192462,1.0599752752507925,8.07473518125793e-06,1.7692783858281191e-25,2.4808777747022736e-16,6,-0.6468841923237305,0.16502101882607545,-0.7142857142857143,0.11078717201166179,0.9264161857994898,8.797905963535168,cross-dataset conserved translation factor
25,ENSG00000118181.11,RPS25,350.11222894023183,-1.880219891939944,0.4321774446470215,-4.350573856244632,1.3578171019980373e-05,6.248995778556065e-05,ENSG00000118181,RPS25,protein_coding,v44,True,RPS,True,True,False,False,True,True,True,True,-1.6676467874329537,0.0055818269682691,True,True,3,3.0,-0.7891537505896741,1.0,-1.880219891939944,-0.2141236403241124,-0.2731177195049659,6.248995778556065e-05,0.0108898782561228,0.0391085907222785,6,0.1776266779015826,0.7363621538271891,-0.08571428571428573,0.8717434402332361,0.9462584097748057,8.783267645430273,cross-dataset conserved translation factor
26,ENSG00000156482.11,RPL30,393.5005190287707,-1.0448061534562243,0.3088324298601171,-3.3830843280592644,0.0007167661988231,0.0021385322566802,ENSG00000156482,RPL30,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-0.7464939240180645,0.0472061137333831,True,True,3,3.0,-0.6341395571366456,1.0,-1.0448061534562243,-0.2737310474642915,-0.5838814704894211,0.0021385322566802,0.001112186611614,5.3581394195651626e-05,6,0.43863507507930216,0.3842442415058607,0.2571428571428572,0.6227871720116619,0.9264161857994898,8.773748632566551,cross-dataset conserved translation factor
27,ENSG00000167526.14,RPL13,636.1797070993226,-1.6179962634549554,0.4704823221721166,-3.4390160633135194,0.0005838325903936,0.0017801466233027,ENSG00000167526,RPL13,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-1.439935828935791,0.0292624734770879,True,True,3,3.0,-0.7672706764653915,1.0,-1.6179962634549554,-0.1879569201082291,-0.49585884583299,0.0017801466233027,0.0310757163876535,0.0005199867479312,6,0.13233753981581858,0.8026525187948861,-0.08571428571428573,0.8717434402332361,0.9525454590517624,8.70204618776094,cross-dataset conserved translation factor
28,ENSG00000141543.12,EIF4A3,111.27234535008444,-1.51805394076059,0.3688432622997981,-4.1157155245164985,3.859801301604367e-05,0.0001601946077792,ENSG00000141543,EIF4A3,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,-1.4209023965558736,0.0097662114839582,True,True,3,3.0,0.0023801388935698,0.6666666666666666,-1.51805394076059,0.648011878015901,0.8771824794253984,0.0001601946077792,3.736276467948582e-19,7.284270151290288e-08,6,-0.565433296736271,0.24223875527700983,-0.6,0.208,0.9264161857994898,8.69856661432268,cross-dataset conserved translation factor
29,ENSG00000233927.5,RPS28,215.10924109275064,-1.8076062173018952,0.423426326890601,-4.268998176320102,1.9635287409392585e-05,8.727239013630574e-05,ENSG00000233927,RPS28,protein_coding,v44,True,RPS,True,True,False,False,True,True,True,True,-1.5683053236813926,0.0080903348365621,True,True,3,3.0,-0.8338006844203601,1.0,-1.8076062173018952,-0.2560194755129792,-0.4377763604462062,8.727239013630574e-05,0.0061959682979531,0.0226918000209262,6,0.09593768234783427,0.8565349835581266,0.14285714285714288,0.7871720116618076,0.966988858164536,8.68894340215527,cross-dataset conserved translation factor
30,ENSG00000106682.16,EIF4H,434.2600678934765,-1.271945929930445,0.3467634933858232,-3.668050282661174,0.0002444071255802,0.0008246471857836,ENSG00000106682,EIF4H,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,-1.1942682226096628,0.0228044443482141,True,True,3,3.0,0.0589862344046839,0.6666666666666666,-1.271945929930445,0.5515409638325836,0.8973636693119134,0.0008246471857836,1.5333788895703034e-17,9.689229138092778e-13,6,-0.5596164147684881,0.2482030629217538,-0.8285714285714287,0.04156268221574335,0.9264161857994898,8.674289056724309,cross-dataset conserved translation factor
