gene_symbol,dataset_count,significant_dataset_count,mean_log2_fold_change,direction_consistency,log2fc_GSE278320_primary,log2fc_GSE287860,log2fc_GSE288000_NTC,padj_GSE278320_primary,padj_GSE287860,padj_GSE288000_NTC
RPL29,3,2.0,-0.6620788962330435,1.0,-1.5263625766796216,-0.15023217073707723,-0.30964194128243155,0.0065126535130157,0.06975000595286535,0.017728590170346854
RPL36A,3,2.0,0.9110957899797271,1.0,1.8518376166882875,0.40322596020555684,0.47822379304533663,6.82777821377332e-05,0.03563130558873226,0.1444864999562992
RPL4,3,2.0,-0.7269793682432697,1.0,-1.8923327544684423,-0.17827593948090112,-0.11032941078046556,2.718581734185079e-06,0.04232351112969611,0.4670280847638757
RPL41P1,3,2.0,-0.7769722499759005,1.0,-1.8535820968307304,-0.12608161952592548,-0.3512530335710455,4.329449216825903e-05,0.22564353703319429,0.03950322138923321
RPL5,3,2.0,-0.5521679908153072,1.0,-1.334228238999401,-0.24083938772823055,-0.08143634571829036,0.000272511581019,0.0017352048413744163,0.6307251177853772
RPL6,3,2.0,-0.7307292044904159,1.0,-1.863662606809818,-0.1789152801685728,-0.14960972649285686,4.555766905318151e-07,0.023234779137810142,0.28308000604225547
RPL7P1,3,2.0,-1.8349146357645527,1.0,-4.3437744627570005,-0.41543782151737163,-0.7455316230192869,0.0013332368373825,0.020121762594877225,0.1054808908145516
RPL7P9,3,2.0,-0.9097796369354577,1.0,-2.41318577493627,-0.3131384779909364,-0.003014657879166449,0.0003771423069435,0.048373192068610495,0.9931535098692965
RPLP0,3,2.0,-0.9000693511068557,1.0,-2.350456924182879,-0.07227021000331268,-0.2774809191343755,1.4051461905579088e-05,0.41096235405599657,0.03933337306028081
RPS13,3,2.0,-0.6324001296447479,1.0,-1.3024182717082375,-0.12505231206567627,-0.4697298051603299,0.0027823620844297,0.12971930421288938,0.0002012157005178594
RPS14,3,2.0,-0.7760808363559528,1.0,-1.5379706094250634,-0.19199582165644102,-0.5982760779863542,0.0005082235277387,0.06770142192540089,3.056530177509471e-06
RPS15P4,3,2.0,-1.2118162685809188,1.0,-2.8660672839353314,-0.43797361455401407,-0.3314079072534109,9.844349379217786e-05,0.02619027365518361,0.4851867412896702
RPS19,3,2.0,-0.5631545151957253,1.0,-1.2733966722199173,-0.06386514850090431,-0.3522017248663544,0.0027302874346186,0.5101277506306173,0.01613608016183293
RPS19P3,3,2.0,-1.4455852318199056,1.0,-1.5282188105273633,-1.014358781754559,-1.7941781031777948,0.508535470432201,0.016815762566535306,0.00428365426404379
RPS2,3,2.0,-0.8093162567111231,1.0,-1.9285841757717943,-0.2648406491966529,-0.2345239451649223,0.0004064203997536,0.0032469350659747958,0.1893650958400786
RPS2P46,3,2.0,-0.7611415348471599,1.0,-1.8451430425161743,-0.2514623922512779,-0.18681916977402752,0.0329975584866042,0.0421420504627063,0.4294107076987365
RPS2P5,3,2.0,-0.8306963831011728,1.0,-2.03749904940871,-0.28133721541123535,-0.17325288448357332,0.001442056672108,0.0004696019169621945,0.39806075116491013
RPS3,3,2.0,-0.7747649398604315,1.0,-1.9037624779309008,-0.10813838831457606,-0.3123939533358177,3.965231261115194e-06,0.2717566130250953,0.04240037910574301
RPS6,3,2.0,-0.5279263210843563,1.0,-1.132295559347832,-0.1899524388266999,-0.2615309650785369,0.0019011006521618,0.02758308004185336,0.05272779168707734
RPS6KA3,3,2.0,0.5693556861586546,1.0,0.9940020750592174,0.6241287073184127,0.08993627609833384,0.0105991463674545,4.255392005739589e-13,0.6470425203276792
RPS6KL1,3,2.0,1.0116109488269258,1.0,0.8433111563455399,0.45645970930004826,1.7350619808351893,0.0600233811498129,0.021474191826441204,2.546907072514581e-14
DHX16,3,2.0,0.12540757671411276,0.6666666666666666,-0.5336824064533103,0.3355773350927403,0.5743278015029083,0.0760799250341769,3.597134263397713e-05,9.41687864993745e-05
DHX32,3,2.0,0.35443901734188815,0.6666666666666666,-0.2862909493856261,0.41481832644918193,0.9347896749621087,0.2889294410304507,7.0451506320388496e-06,3.6802664772021275e-09
DHX37,3,2.0,0.21090764887049288,0.6666666666666666,-0.5707444174104155,0.4914170768046807,0.7120502872172134,0.1666410440098473,1.8224050538832408e-07,0.00011277360239269418
DHX40,3,2.0,-0.1648354870766722,0.6666666666666666,-1.3821128957947115,0.008732559920455669,0.8788738746442392,1.7700096243587194e-09,0.9565945404093172,5.531408822906936e-06
