gene_symbol,log2FoldChange,lfcSE,padj,context
TMEM98,-0.8097109599036776,0.2254403630832168,0.0010710886574458,GSE278320 VacV
YBX2,0.5534353496165941,0.373493546579261,0.2151749119520933,GSE278320 VacV
MAP3K14,1.7962154433051731,0.6620879956650026,0.0154348067405301,GSE278320 VacV
ABCC8,0.6962639310245782,0.3416644669418588,0.0765829281676893,GSE278320 VacV
TMEM132A,-0.9651691784013088,0.3150123232646775,0.0057510259260775,GSE278320 VacV
AP2B1,-1.29094538428907,0.2480495451978519,1.3299173043321174e-06,GSE278320 VacV
ZNF263,0.9789716966222703,0.2038065729444468,8.883844948249192e-06,GSE278320 VacV
SPATA20,-0.9851735983667802,0.2744718788209637,0.0010791489191694,GSE278320 VacV
CACNA1G,0.0633508235766547,0.6643893428781177,0.9504437539089644,GSE278320 VacV
TNFRSF12A,4.923217524552672,0.6935364963241573,2.1012810167747298e-11,GSE278320 VacV
DLX6,0.5302737651178049,0.6643395630150445,0.5381315009110421,GSE278320 VacV
MAP3K9,1.4625680971352606,0.3118580578959823,1.4748743936543016e-05,GSE278320 VacV
RALA,-2.2438830234470872,0.3697908872725557,1.3207389997042344e-08,GSE278320 VacV
BAIAP2L1,-0.7608912315245456,0.3724244164760922,0.0757672877468108,GSE278320 VacV
KDM7A,1.553808248317527,0.5758467333102355,0.0160544072548085,GSE278320 VacV
ETV1,-0.4533398814001234,0.4684951475068827,0.443344229629684,GSE278320 VacV
AGK,-0.1795269627009737,0.2493147644844455,0.5831933449531903,GSE278320 VacV
ALDH3B1,1.797634810375565,0.4071580597748518,4.784332454689507e-05,GSE278320 VacV
PHTF2,-0.9762242687677072,0.2123110367445873,2.208929830019412e-05,GSE278320 VacV
FARP2,0.3163430506004935,0.3078880047004898,0.411452563869594,GSE278320 VacV
GGCT,-1.2209869631275223,0.4014724296443857,0.0061569984328967,GSE278320 VacV
DBF4,-0.7255585088390049,0.2403570924564422,0.0065794813646542,GSE278320 VacV
TBXA2R,-1.5372409823064217,0.8650845457394284,0.1283746743622323,GSE278320 VacV
IFRD1,1.4963027482156004,0.3142605283713485,1.0724157849453448e-05,GSE278320 VacV
COX10,-0.2561550613570439,0.3795342737174449,0.6099114899186238,GSE278320 VacV
GTF2IRD1,-0.9394363433931312,0.3655826323872749,0.022430936223135,GSE278320 VacV
PAF1,-0.7219997418732188,0.3658370896804147,0.0872694178306351,GSE278320 VacV
VPS41,-0.1005709592599952,0.3251731185784494,0.8286062341013238,GSE278320 VacV
ARHGAP44,-1.0220828892334424,0.3107679149774884,0.0028860507712607,GSE278320 VacV
ELAC2,-1.497051849700253,0.2400912961754477,5.036702871560236e-09,GSE278320 VacV
ARSD,1.012590546371034,0.7175183672465447,0.2403185328222385,GSE278320 VacV
MYH13,2.580079431028278,2.1499661243629844,0.3272390907581685,GSE278320 VacV
ADIPOR2,-0.6218509116097817,0.2966987315918319,0.0677231193959165,GSE278320 VacV
CDKL3,3.7352178129319102,0.5302378255123725,3.028937940699566e-11,GSE278320 VacV
MARK4,-1.6868129239207554,0.2073796394011018,1.0764311014533096e-14,GSE278320 VacV
PROM1,5.133479848004572,1.683562847358946,0.0060131402731924,GSE278320 VacV
CCDC124,-2.8296923881050016,0.3499291323217422,1.5539614229589036e-14,GSE278320 VacV
PAFAH1B1,-0.0819045895687827,0.1353207327421601,0.6503910900350077,GSE278320 VacV
NOS2,-1.4506054499583425,0.7472685378951578,0.0931705707931729,GSE278320 VacV
DNAH9,3.987148821945408,0.7290300653523619,3.491837236606218e-07,GSE278320 VacV
KIAA0100,-1.0585673508753584,0.2858402175305263,0.0007294047317732,GSE278320 VacV
GAS7,-1.556007263479826,0.6492683134354886,0.0343505562763384,GSE278320 VacV
