gene,k,pooled_log2FC,p,Q,I2,tau2,pi_lo,pi_hi,direction_concordance,loso_direction_robust,class,meta_FDR
EIF1B,4,0.198397129968931,0.4153708148693277,18.003400457332933,83.33648131024006,0.1704029450733605,-1.3269809758190076,1.7237752357568699,0.5,False,III_context_dependent,0.6658044856500511
DDX41,4,0.24121836400888427,0.4230237454228236,41.41717580880781,92.75662827941538,0.3015180610962653,-1.7517277374976632,2.234164465515432,0.5,False,III_context_dependent,0.6704788121897695
RPL37P2,2,-0.29773958174191534,0.4224547565637782,0.9884473131534074,0.0,0.0,,,0.5,False,III_context_dependent,0.6704788121897695
RPSAP8,2,-0.4365918757602438,0.42228594303730127,0.39053794217076104,0.0,0.0,,,0.5,False,III_context_dependent,0.6704788121897695
EIF1AXP1,2,0.6566217049217441,0.43738409025206115,3.427961580062716,70.82814446299295,1.0529898300113927,,,0.5,False,III_context_dependent,0.6886055189000285
RPL36AP26,3,-0.3822644737931197,0.43765226756356534,0.2111480664569364,0.0,0.0,-2.5013419766958207,1.7368130291095816,0.6666666666666666,True,III_context_dependent,0.6886055189000285
EIF2AK3,4,0.24285854412616548,0.4571621010614755,39.70248833292155,92.44379854772885,0.3895461461554867,-1.998978500078021,2.484695588330352,0.75,False,III_context_dependent,0.7061261752064191
EIF2S3,4,-0.14857991070987925,0.4604480731172037,23.126450660759737,87.02784078712818,0.12182762265157587,-1.4308668941365106,1.133707072716752,0.75,False,III_context_dependent,0.7084103849483315
RPS20P33,3,-0.4273284911515227,0.4646014477938588,1.5440328406386603,0.0,0.0,-2.941575468467078,2.0869184861640324,0.6666666666666666,False,III_context_dependent,0.7084469323210985
RPL5P29,2,-1.674005744463211,0.47361077462874956,3.7201563880908686,73.11940962478769,7.9909093137417715,,,0.5,False,III_context_dependent,0.7089544002930356
RPS4XP3,2,-0.7344593109544651,0.4768264708246749,2.9521076241556474,66.12589623029015,1.5212407969257877,,,0.5,False,III_context_dependent,0.7115718103075918
RPL31P49,3,-0.3905880922619851,0.47962416732361934,0.31375120420318775,0.0,0.0,-2.767936901654487,1.9867607171305168,0.6666666666666666,True,III_context_dependent,0.7135512918771637
EIF4A1P2,3,0.45334263086415766,0.48230863922297906,6.5380742534093965,69.40995280136099,0.8623835486072278,-4.412117753113108,5.318803014841423,0.6666666666666666,True,III_context_dependent,0.7153507340157335
EIF2S2P4,3,0.42213361339488337,0.4848374528131114,8.375004946870899,76.11941709064605,0.8236181264030549,-4.269145754088171,5.113412980877937,0.6666666666666666,True,III_context_dependent,0.7165716212899087
RPS6P25,3,0.2788729656287871,0.48608672866882463,1.3474902648997555,0.0,0.0,-1.4437596961443258,2.0015056274019,0.6666666666666666,True,III_context_dependent,0.7165716212899087
EIF4EP2,3,0.4564988682922525,0.4966592517724725,4.103132893292821,51.256757896647784,0.698574666278758,-4.156723242158278,5.069720978742782,0.6666666666666666,False,III_context_dependent,0.7277333447421425
RPL32P3,2,0.6236787363429676,0.5000689755419978,72.38654379615153,98.61852777110603,1.6870396742538454,,,0.5,False,III_context_dependent,0.7305224492104486
RPS6KB2,4,0.16203361340020647,0.5171776019353498,26.580101978995835,88.71336158766184,0.20582499441275892,-1.4867329680218626,1.8108001948222756,0.5,False,III_context_dependent,0.750991427960014
