gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
RPL23AP82,1,0.5906845559565497,0.1494230858259149,0.0,,,3.9531010398535447,7.714484159079277e-05,1,0,1.0,0.5906845559565497,0.0002601274287575,,,,True
EIF1AXP1,1,1.3500025744853144,0.3776744407876419,0.0,,,3.5745139958898924,0.0003508790443601712,1,0,1.0,1.3500025744853144,0.001074165661355,,,,True
RPS10P7,1,-1.0393113715972302,0.2933408551202021,0.0,,,-3.543016096995259,0.0003955785557847956,0,1,1.0,-1.0393113715972302,0.0012020298382611,,,,True
RPL23AP53,1,0.6383735433916337,0.2019310060819604,0.0,,,3.161344836426599,0.0015704246185716461,1,0,1.0,0.6383735433916337,0.0043182029561829,,,,True
RPL32P3,1,-0.2940295132347088,0.1021465039561609,0.0,,,-2.8785078475216337,0.003995613396712987,0,1,1.0,-0.2940295132347088,0.0101657155899622,,,,True
RPS4XP16,1,-1.1778484957761897,0.4104349894268224,0.0,,,-2.8697565415196933,0.004107879514659809,0,1,1.0,-1.1778484957761897,0.0104247789674044,,,,True
RPSAP22,1,-2.993771203892856,1.108895022372386,0.0,,,-2.699778737835741,0.00693856050097758,0,1,1.0,-2.993771203892856,0.0167857340518679,,,,True
RPL23P2,1,-1.6687754916527495,0.7075532525248203,0.0,,,-2.358515752274364,0.01834818105421228,0,1,1.0,-1.6687754916527495,0.0401577756615746,,,,True
RPL5P29,1,-4.097951682027279,1.8279587359694305,0.0,,,-2.2418184838587134,0.0249731061191624,0,1,1.0,-4.097951682027279,0.0526351201257393,,,,True
RPL21P44,1,-2.4334432640534893,1.22615609377829,0.0,,,-1.984611320207244,0.047187731902388196,0,1,1.0,-2.4334432640534893,0.0915551483203088,,,,True
