gene,full_meta_log2FC,full_meta_p,removed_study,loo_meta_log2FC,loo_meta_p,loo_k,direction_preserved,full_meta_FDR,significance_preserved
RPS26P47,-0.22134054618588367,0.8271022626873871,GSE287860,-1.232355762843087,0.3643613298848295,1,True,0.9264309408854104,False
RPS26P47,-0.22134054618588367,0.8271022626873871,GSE288000,-0.22134054618588367,0.8271022626873871,2,True,0.9264309408854104,False
RPS26P58,0.16872741972687993,0.8550566671050699,GSE278320,0.3727230358740046,0.7186284890143586,1,True,0.9298261962913876,False
RPS26P58,0.16872741972687993,0.8550566671050699,GSE284044,0.16872741972687993,0.8550566671050699,2,True,0.9298261962913876,False
RPS26P58,0.16872741972687993,0.8550566671050699,GSE287860,-0.6332229642557383,0.7575359273487976,1,False,0.9298261962913876,False
RPS26P58,0.16872741972687993,0.8550566671050699,GSE288000,0.16872741972687993,0.8550566671050699,2,True,0.9298261962913876,False
RPS27,-0.7854233946523447,0.0004299121952857504,GSE278320,-0.6994209307467341,0.003557831577273902,3,True,0.010974074458609945,True
RPS27,-0.7854233946523447,0.0004299121952857504,GSE284044,-0.8768825444975002,0.00224421087052706,3,True,0.010974074458609945,True
RPS27,-0.7854233946523447,0.0004299121952857504,GSE287860,-0.938537332858548,1.539495642783502e-05,3,True,0.010974074458609945,True
RPS27,-0.7854233946523447,0.0004299121952857504,GSE288000,-0.5706568852453533,0.0005384693318512465,3,True,0.010974074458609945,True
RPS27A,-0.31197186084036266,0.08019239391591491,GSE278320,-0.07590858089818796,0.20686630472428924,3,True,0.2569597013196196,False
RPS27A,-0.31197186084036266,0.08019239391591491,GSE284044,-0.34206270595379545,0.12171789975781121,3,True,0.2569597013196196,False
RPS27A,-0.31197186084036266,0.08019239391591491,GSE287860,-0.5843518169788761,0.098818840701003,3,True,0.2569597013196196,False
RPS27A,-0.31197186084036266,0.08019239391591491,GSE288000,-0.5603430763089953,0.12151502469950107,3,True,0.2569597013196196,False
RPS27AP11,-1.0324274352247815,0.2505916549695153,GSE278320,-1.2338817321802529,0.26750214413745776,1,True,0.5149870875432836,False
