gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,meta_FDR,is_translation_factor
RPL19,2,-1.1791891909691423,0.7661701267438549,1.0324673134016074,8.233438747340374,87.85440651607414,-1.539069652820551,0.12378729276964294,0,2,1.0,-1.969920552251659,1.7967041334507122e-05,-0.436817392078315,0.999899862550801,0.49275795001391054,True
RPL36AL,2,-0.763243719467215,0.4961566926698574,0.3942408644747842,4.957248878979812,79.82752077991701,-1.5383118493477166,0.12397238387175206,0,2,1.0,-1.2877617732327509,0.0009955836752563,-0.293914852874699,0.999899862550801,0.49275795001391054,True
RPL32,2,-0.7768836120604763,0.5050735160495684,0.40226461847864126,4.723606324434174,78.82973450121742,-1.5381594705991912,0.12400962796508573,0,2,1.0,-1.2889702665868112,0.0005162163107636,-0.27872718802589,0.999899862550801,0.49275795001391054,True
RPS3,2,-1.1501398205414182,0.7585725167709247,0.9970829978687215,7.48168411994217,86.63402538828745,-1.5161896787894567,0.1294713971254451,0,2,1.0,-1.9037624779309008,3.965231261115194e-06,-0.386584933280666,0.999899862550801,0.5007965226619565,True
EIF5,2,0.8441682535876356,0.5579898796711317,0.5367612533811178,7.1871650991374825,86.08630821462543,1.512873771268346,0.13031172546359304,2,0,1.0,1.4226433594061156,7.542177627895458e-05,0.305938167826428,0.999899862550801,0.5021212395052106,True
RPL18,2,-0.968804588091676,0.6409760464604548,0.7027493739536416,6.8888429727276375,85.48377421347942,-1.5114520947257375,0.1306733051701562,0,2,1.0,-1.5960648149559462,3.41657375880165e-06,-0.313812808699011,0.999899862550801,0.5022114280322689,True
RPL9,2,-0.7366808312116194,0.49124780049740335,0.39635554475506163,5.416464700074122,81.53777315328362,-1.4996114597677743,0.13371507746292252,0,2,1.0,-1.2712256060294695,0.0013805493445163,-0.285223043459846,0.999899862550801,0.5065527568936954,True
EIF4A2,2,0.2135963860579174,0.14257966056363452,0.0007112778385071476,1.0142143484943684,1.4015132516582958,1.498084545955189,0.13411128571492567,1,1,0.5,0.301854850156218,0.117388520916702,-0.0167380052566566,0.999899862550801,0.5065527568936954,True
RPL14,2,-1.0328833369470618,0.6920504449921685,0.8598197179223837,9.757901125154989,89.75189451938502,-1.4924971791019517,0.13556885620746645,0,2,1.0,-1.7169633646162297,5.3571110562464585e-08,-0.332769608958677,0.999899862550801,0.5068278529079019,True
DHX57,2,0.5897152266881115,0.4004183208309612,0.2779788895535728,7.464693591390367,86.60360284374725,1.4727478639446747,0.14081903516549965,2,0,1.0,1.0027515035896104,6.084574550273562e-05,0.20152939260138,0.999899862550801,0.5130438358979869,True
RPL37A,2,-0.6427955504220298,0.43971547695082125,0.2732689342604057,3.090648168759711,67.64432748741815,-1.461844270025368,0.1437838896006162,0,2,1.0,-1.1851787623344978,0.0229753477799149,-0.286313829705918,0.999899862550801,0.515009297376815,True
RPS12,2,-0.9498768319541908,0.6526858644132634,0.7624741900890019,9.223708024548301,89.15837321239393,-1.4553353822180435,0.14557643585056967,0,2,1.0,-1.6437415183623614,7.17797031148118e-05,-0.335925947942359,0.860515646338543,0.5165918717917435,True
EIF4B,2,-1.2264467657974634,0.8550052587126468,1.3723529410579531,16.271742804181834,93.85437680502791,-1.4344318392194264,0.15144906712590273,0,2,1.0,-2.0729162729545703,8.344665391484628e-13,-0.362819681484079,0.999899862550801,0.5209486184430744,True
