gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
RPL10P16,3,-0.49525728604968855,0.14377162102471752,0.0,0.9755395128668233,0.0,-3.4447499619173305,0.0005715878666098421,0,3,1.0,-1.3775558746393448,0.2023990102797449,,,-0.4654604151280198,0.0249444342752387,-0.48479962181150776,0.0848028095260308,0.005172729176075664,True
EIF4B,4,-0.8402821145945343,0.24469853025276142,0.1973524666107008,33.1562599146439,90.95193484511499,-3.4339483515759763,0.0005948575294548487,0,4,1.0,-2.0729162729545703,8.344665391484628e-13,-0.362819681484079,0.999899862550801,-0.4647667172324102,9.472171649344344e-12,-0.6136411850762195,3.0868479910986597e-07,0.00535250178486172,True
DHX38,4,0.3788811427779368,0.1105074617469796,0.021489945876698616,5.8472494800480455,48.693825870837486,3.428557101831111,0.0006067988721848833,3,1,0.75,0.0805547189859051,0.8295816800683581,-0.27814834262924,0.999899862550801,0.4558908704174739,1.6487303516414891e-09,0.5304233628968107,5.204686173181348e-05,0.005435611497623697,True
DDX31,4,0.5449714264101101,0.16082804098285733,0.07071252395296826,10.78295557399734,72.17831438316988,3.3885348791147596,0.0007026709150448533,4,0,1.0,0.0570043977323151,0.8439109281032274,0.6634469033766509,0.495197551808706,0.5462387146052312,9.412443985924215e-08,0.886661454357048,8.968056610644092e-08,0.006149138834680786,True
RPL7P21,2,1.0443022084066544,0.3087925995198686,0.0,0.12522304268377105,0.0,3.3818887176389767,0.0007198930105773102,2,0,1.0,,,,,0.9559244546994724,0.0357289695471351,1.1794083403102087,0.0357802355522624,0.006277387190885903,True
RPL30,4,-0.44577759349698,0.13580827655377156,0.046789678021403124,9.746446852250582,69.21955205340026,-3.2824037297938906,0.0010292612398593462,0,4,1.0,-1.0448061534562243,0.0021385322566802,-0.203975970934914,0.999899862550801,-0.2737310474642915,0.001112186611614,-0.5838814704894211,5.3581394195651626e-05,0.008484273643469794,True
DDX11-AS1,3,1.2533204790502206,0.3861761130092876,0.0,1.4538296118085121,0.0,3.2454634992405085,0.0011725959582867158,2,1,0.6666666666666666,1.4520388946105485,0.0024118780123076,,,0.9875256361934388,0.5031955092599931,-0.1570597626914937,,0.009481140501812023,True
EIF2D,4,-0.36714773399153927,0.11408533541589347,0.026287756637123235,6.433862189833132,53.37170875775617,-3.218185165105726,0.001290045080107658,0,4,1.0,-0.097266661704109,0.6689978766192021,-0.139929437396057,0.999899862550801,-0.4063537577312979,1.1323720312401038e-05,-0.6334870115498271,6.1019801894771674e-05,0.010231568348861061,True
DDX46,4,0.3272297820121658,0.10202935134323515,0.018416548907994927,5.656076725709035,46.95970112350402,3.207212215937136,0.0013402808504643798,4,0,1.0,0.6273653983291235,0.0822634858549851,0.386011585805497,0.793158401068445,0.1647463336078641,0.0450163063675268,0.4440278134992145,0.0013060552571019,0.01058802628782144,True
RPL38,4,-0.37767765767042794,0.11839467096981483,0.032573582205878686,8.281259556431461,63.77362671032193,-3.189988658921298,0.0014227837701980652,0,4,1.0,-1.1301195604630223,0.0025481608018747,-0.425694570198579,0.246049247701778,-0.1935733392253895,0.0450665159097545,-0.3170660231206526,0.0182139879640508,0.01107677679458409,True
