gene_symbol,direction,k_studies,pooled_log2FoldChange,I2,meta_FDR,is_translation_factor,evidence_rank
TYMP,up,3,1.7031430831514505,0.0,7.896686142312228e-45,False,25
WNT5B,down,4,-1.8971743613735372,15.31447949436006,2.5235269960627323e-19,False,27
DTNA,up,4,1.6375556438540495,0.4099431126387975,8.42981015476141e-75,False,28
FERMT3,up,4,1.605819541801645,0.0,1.3341822978480832e-141,False,29
TNF,up,3,3.589217532893098,93.32293980592222,3.713613097139194e-10,False,30
TMEM163,up,3,2.631302078257599,41.83291818727183,6.564046076473349e-11,False,31
DSEL,up,4,2.400646764963593,56.50097596694432,4.350147300950535e-11,False,32
HPGD,down,4,-2.364624604168742,0.0,3.17471766425086e-11,False,32
ACKR3,down,4,-2.545668840125027,58.1304262453045,1.221616048220713e-10,False,34
KCNK10,down,3,-1.948889183989902,68.59162083376745,2.7128581473872904e-13,False,34
LINGO3,down,3,-2.7258059958571,77.62688710258527,6.313470443752541e-10,False,36
KBTBD8,up,4,1.6567956988471142,39.35779377269076,1.9312402515496112e-19,False,37
DNAJC5B,up,3,3.4991315085899477,3.56720066752244,7.973767568711815e-09,False,38
CAPN11,up,3,1.6716765542547762,0.0,5.1429253918119875e-18,False,39
A2ML1,up,3,2.4572403454321914,0.0,3.0119090644042416e-10,False,40
ALDH1L2,up,4,1.8441810508887035,12.376453475218046,7.680725748670598e-14,False,41
ENPP2,up,4,3.1433038863007554,90.40251998561224,6.8336958624674945e-09,False,42
HMGA2-AS1,up,3,3.1192737232949033,0.0,8.009460595779015e-09,False,43
MPPED2,down,4,-1.7796627792850257,0.0,2.4396315870179865e-14,False,44
MORC1,up,3,4.118561465458148,2.723865941502126,4.7221785363946425e-08,False,45
GNAL,down,4,-1.6421166629188848,0.0,1.0047415291398514e-17,False,46
NIPBL-DT,up,3,1.458623241723108,20.218352457849797,3.9130782069578625e-43,False,47
FYB1,up,3,1.4409415277627062,0.0,1.264822306832195e-60,False,48
MYLK,down,4,-1.5644110873688113,0.0,3.216644409860691e-20,False,49
CD24,down,4,-1.4503647448376555,0.0,1.049518851246255e-33,False,50
KCNK3,down,3,-2.191973283096374,0.0,4.867111437967768e-10,False,51
ABTB1,down,4,-1.5006386168107664,53.09445438724391,1.9424198767252068e-21,False,51
PROX1,up,4,1.6575509216705446,33.3130989523208,2.4235009588198933e-14,False,53
C16ORF86,down,3,-1.472972616884881,0.0,5.241353828465191e-20,False,54
KLHL30,down,3,-2.3802486109460133,77.5677324602703,1.1310457307272721e-08,False,55
PTPRC,up,4,1.399566545302207,29.61277171852455,3.4267440025198155e-25,False,56
ZC3H12A,up,4,2.8360046217153365,95.50771572989126,9.576589598583845e-08,False,57
CPEB3,up,4,1.8142923786780172,77.12671875046841,6.351705497209629e-11,False,58
FXYD6,down,4,-2.3018852655691098,41.9362121265389,1.3625791053556884e-08,False,59
DSE,up,4,1.3385876487873891,48.01452316033877,2.2079549244557807e-32,False,59
CREB3L4,down,4,-1.54219013247518,48.77574097835173,1.110004411958438e-14,False,61
AKR1C3,down,3,-2.395680644393375,61.45387424225846,5.74136914638113e-08,False,62
RGMA,down,3,-1.4822561115488553,0.0,6.746453232744906e-16,False,63
SLC26A4,up,4,2.2922132040970182,23.146167242068536,3.580709609933279e-08,False,64
SPOCK3,down,4,-2.442244714349089,33.03028115879844,9.668658181628255e-08,False,65
NCF1,up,3,2.6226515541252873,94.67544318922816,2.0216333567491408e-07,False,66
TMSB15A,down,3,-1.608624347583201,0.0,8.151717187278238e-12,False,67
CSPG4,down,4,-1.499641539676985,0.0,3.787833063613359e-13,False,68
MDK,down,4,-1.3052630215548873,0.0,1.870669770616968e-25,False,69
SYT1,up,4,1.2651845600069769,0.0,6.771881639265915e-57,False,70
PSMB8-AS1,down,3,-1.302601822654222,5.805413444918194,4.464829754900475e-23,False,71
ALDH5A1,down,4,-1.3507781970662731,22.663066625495695,1.9458700383735652e-17,False,72
RAC2,up,4,1.224039764945,0.0,5.910974402101729e-85,False,73
REL,up,4,1.3118143196222831,46.421713443241146,1.2156483429728533e-18,False,74
FAM53B,down,4,-1.498735224719977,65.79124828899457,7.1718445675603235e-12,False,75
CPED1,down,3,-1.7482659857823355,0.0,3.1477218922383093e-09,False,76
PLK2,up,4,2.069994794919426,90.77999648087948,1.219193951192993e-07,False,77
TBX6,down,3,-2.2477209446113635,42.10271820336558,2.7513317942662757e-07,False,78
PIK3CG,up,3,1.2029962980458566,1.0888234524684106,4.045682186271278e-61,False,79
MCTP1,up,4,1.367415545686378,54.093816095066984,5.537340810454363e-14,False,80
C1ORF216,up,3,1.190352751826058,0.0,7.15923844649674e-51,False,81
GPX3,down,3,-1.230108715830278,0.0,1.9808423756726904e-24,False,82
RIMS1,up,4,3.730915142361017,79.26155091714662,7.025341398102667e-06,False,83
