gene,mean_abs_enet_coef,enet_selection_freq,mean_perm_importance,mean_abs_enet_coef_norm,mean_perm_importance_norm,ml_importance_score
EIF3A,0.05986107758047545,0.3333333333333333,0.0,0.22293850910194418,0.0,0.18542394747842583
RPL7P42,0.058563516129121355,0.3333333333333333,0.0,0.2181060465549053,0.0,0.18381312662941288
DHX32,0.05844743088826384,0.3333333333333333,0.0,0.2176737143689248,0.0,0.1836690159007527
EIF3B,0.05761016437293635,0.3333333333333333,0.0,0.2145555120880328,0.0,0.1826296151404554
RPSAP47,0.055718754736238225,0.3333333333333333,0.0,0.2075114015983803,0.0,0.1802815783105712
DDX50P1,0.04520451635077661,0.3333333333333333,0.0,0.16835359280608111,0.0,0.16722897537980483
EIF3C,0.038099344412293845,0.3333333333333333,0.0,0.14189205046667347,0.0,0.15840846126666894
RPL5P17,0.03800840467759425,0.3333333333333333,0.0,0.14155336680624656,0.0,0.1582955667131933
RPL21P75,0.03558767386876178,0.3333333333333333,0.0,0.13253792406329337,0.0,0.1552904191322089
RPL12P42,0.034159576278601146,0.3333333333333333,0.0,0.1272193103585121,0.0,0.1535175478972818
RPS15AP24,0.031931348344077966,0.3333333333333333,0.0,0.11892079931025917,0.0,0.15075137754786416
RPL14P1,0.029884096405219395,0.3333333333333333,0.0,0.11129629080735746,0.0,0.1482098747135636
DHX9,0.025926797706052707,0.3333333333333333,0.0,0.09655826222981916,0.0,0.14329719852105083
RPS4XP11,0.023976675553737156,0.3333333333333333,0.0,0.08929549078004984,0.0,0.14087627470446104
EIF4EBP1,0.023916015751636505,0.3333333333333333,0.0,0.08906957760926608,0.0,0.1408009703141998
DDX58,0.021434704314133,0.3333333333333333,0.0,0.07982851655835273,0.0,0.137720616630562
EIF5B,0.020891176955589164,0.3333333333333333,0.0,0.07780427670388337,0.0,0.13704587001240556
EIF4H,0.018079258459559298,0.3333333333333333,0.0,0.06733194739477072,0.0,0.13355509357603468
RPL29P11,0.01804840540472617,0.3333333333333333,0.0,0.06721704244611704,0.0,0.13351679192648344
RPS17,0.017721554327618315,0.3333333333333333,0.0,0.06599976245761653,0.0,0.13311103193031662
