gene,module,meta_FDR,pooled_log2FC,k_studies,direction_concordance,het_class,loso_robust,ml_importance,degree_centrality,external_support_GSE185520,s_meta,s_concord,s_loso,s_ml,s_net,s_module,s_external,final_evidence_score,evidence_tier
DDX56,DHX/DDX helicase,1.1571927488623988e-06,0.7332700226776628,4,1.0,II_conserved_high_het,True,0.2916116108462842,0.0,0.0,0.3217717107650613,1.0,1.0,0.43741741626942626,0.0,1.0,0.0,5.1792641094515055,Tier 1 (triangulated)
EIF3E,eIF3 complex,0.0777819038241465,-0.4582575068858202,4,0.75,II_conserved_high_het,True,0.2901985976790539,0.0,1.0,0.060092944032035224,0.75,1.0,0.4352978965185809,0.0,1.0,1.0,5.14582815311725,Tier 2 (corroborated)
EIF2S1,other eIF,0.0011223852515448,0.8957123395038716,4,1.0,II_conserved_high_het,True,0.2736331787526025,0.0,0.3333333333333333,0.15987220772123184,1.0,1.0,0.41044976812890377,0.0,1.0,0.3333333333333333,5.0539133888942205,Tier 1 (triangulated)
RPS14,40S ribosomal,0.0606290941215559,-0.5144192390595074,4,1.0,II_conserved_high_het,True,0.1276029653836593,0.0,1.0,0.06595791446789602,1.0,1.0,0.19140444807548898,0.0,1.0,1.0,5.047703682320718,Tier 2 (corroborated)
RPL14,60S ribosomal,0.0926900887797821,-0.5174266935908396,4,1.0,II_conserved_high_het,True,0.1260033670341892,0.0,1.0,0.05596488859269499,1.0,1.0,0.18900505055128383,0.0,1.0,1.0,5.0179223225843055,Tier 2 (corroborated)
EIF4G2,eIF4/initiation,0.0747485606584346,0.7066117934363378,4,0.75,II_conserved_high_het,True,0.5796377192902274,0.0,0.0,0.061029395262537436,0.75,1.0,0.8694565789353412,0.0,1.0,0.0,5.016486646027026,Tier 2 (corroborated)
EIF4BP6,eIF4/initiation,0.0896442199113345,-1.0139278206789222,3,1.0,II_conserved_high_het,True,0.449475724933658,0.0,,0.0567514744961304,1.0,1.0,0.6742135874004871,0.0,1.0,0.0,4.9903058610413,Tier 2 (corroborated)
RPL4,60S ribosomal,0.1459813957567426,-0.4666569636027757,4,1.0,II_conserved_high_het,True,0.1175729299446822,0.0,1.0,0.04527195306103128,1.0,1.0,0.17635939491702332,0.0,1.0,1.0,4.965898672486625,Tier 2 (corroborated)
RPS27,40S ribosomal,0.0040907641617138,-0.7854233946523447,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.12942664083233485,1.0,1.0,0.0,0.0,1.0,1.0,4.823566602080837,Tier 2 (corroborated)
DDX21,DHX/DDX helicase,0.279921822387466,1.015600855456332,4,0.75,II_conserved_high_het,True,0.4206952450962862,0.0,0.3333333333333333,0.029945744286640864,0.75,1.0,0.6310428676444293,0.0,1.0,0.3333333333333333,4.795283429338794,Tier 2 (corroborated)
RPL38,60S ribosomal,0.011076776794584,-0.3776776576704279,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.10597657020790914,1.0,1.0,0.0,0.0,1.0,1.0,4.764941425519773,Tier 2 (corroborated)
RPS16,40S ribosomal,0.0207733119230205,-0.3118119144943141,4,1.0,I_conserved_low_het,True,0.0,0.0,1.0,0.09117328323381307,1.0,1.0,0.0,0.0,1.0,1.0,4.727933208084533,Tier 2 (corroborated)
RPL22P2,60S ribosomal,0.0112318186217413,-1.1837186004922868,3,1.0,I_conserved_low_het,True,0.3197718092386738,0.0,,0.10564934512009597,1.0,1.0,0.47965771385801076,0.0,1.0,0.0,4.723438790516262,Tier 1 (triangulated)
RPS11,40S ribosomal,0.0334680614315392,-0.3230856931821444,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.07994584235569592,1.0,1.0,0.0,0.0,1.0,1.0,4.69986460588924,Tier 2 (corroborated)
RPS18,40S ribosomal,0.0398090080692118,-0.2763501776335215,4,1.0,I_conserved_low_het,True,0.0,0.0,1.0,0.07586136489540718,1.0,1.0,0.0,0.0,1.0,1.0,4.689653412238518,Tier 2 (corroborated)
RPL19,60S ribosomal,0.0457746401397783,-0.5195489157393287,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.07257410915926421,1.0,1.0,0.0,0.0,1.0,1.0,4.6814352728981605,Tier 2 (corroborated)
RPS6,40S ribosomal,0.0469624767913523,-0.2885258976743778,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.07197100845802913,1.0,1.0,0.0,0.0,1.0,1.0,4.679927521145073,Tier 2 (corroborated)
RPS13,40S ribosomal,0.0550229947352884,-0.4227009174492059,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.06824199159100167,1.0,1.0,0.0,0.0,1.0,1.0,4.670604978977504,Tier 3 (single-stream)
RPL7A,60S ribosomal,0.0632979115217019,-0.5833609888590681,4,1.0,II_conserved_high_het,True,0.0,0.0,1.0,0.06494380927704665,1.0,1.0,0.0,0.0,1.0,1.0,4.662359523192617,Tier 3 (single-stream)
RPL37A,60S ribosomal,0.0658742833517678,-0.2426083400774798,4,1.0,I_conserved_low_het,True,0.0,0.0,1.0,0.06400460502068812,1.0,1.0,0.0,0.0,1.0,1.0,4.66001151255172,Tier 3 (single-stream)
