gene_symbol,n_contexts,mean_log2fc,direction_consistency,n_positive_contexts,n_negative_contexts,pooled_log2fc_meta,meta_FDR,meta_k_studies,log2fc_GSE185520_D9muD10mu_18hr,log2fc_GSE185520_WT_18hr,log2fc_GSE185520_WT_6hr,log2fc_GSE278320_VacV,log2fc_GSE284044_6hpi,log2fc_GSE287860_M003,log2fc_GSE288000_NTC,meta_sig,evidence_score
DHX9,7,-0.4882925694366647,0.5714285714285714,4,3,0.5936549589434545,0.027723605126829,4,-1.2893186268844559,-4.104565892548263,-0.16720417095975654,0.0716318623289401,0.158220544554128,0.747391359042762,1.1657969384099929,True,9.511113193757442
EIF4ENIF1,7,-0.19055661978997246,0.5714285714285714,4,3,0.5318611232001087,0.0021370384911699,4,-1.434048735232332,-1.854498834438987,0.10504048845565302,0.4746335764623669,-0.0933687631285716,0.6437076988292919,0.8246382305227715,True,9.48021627588577
EIF2B2,7,-0.27419529944895615,0.5714285714285714,3,4,0.5099977717559405,1.8814178911150997e-05,4,-0.25923003180367704,-3.112772218351152,-0.05270989122779209,0.3197481205790236,-0.0084035162139308,0.4600389348876145,0.7339615059872208,True,9.469284600163686
DDX28,7,-0.3355118137241085,0.5714285714285714,4,3,0.4973152069616363,0.0225404399661703,4,-1.5198482885147406,-2.7220972200194065,-0.1797347731788859,0.9292950980003432,0.285396341152057,0.2246831623513952,0.6337229841404789,True,9.462943317766534
DHX57,7,-0.2030700859722113,0.5714285714285714,4,3,0.4541885525395066,0.0113332825675888,4,-0.6011203023239092,-2.792407179641291,-0.0069197267369406346,1.0027515035896104,0.20152939260138,0.2887044594540163,0.4859712512516553,True,9.441379990555468
DDX46,7,-0.1849225997903103,0.5714285714285714,4,3,0.3272297820121658,0.0105880262878214,4,-0.3521827672220683,-2.4303123369925985,-0.1341142255592039,0.6273653983291235,0.386011585805497,0.1647463336078641,0.4440278134992145,True,9.377900605291797
DDX42,7,-0.06773729828513075,0.5714285714285714,4,3,0.2343982841789226,0.0024899214943719,4,-0.11818070879611614,-1.2735625479273187,0.4121217465294447,-0.0865612851772568,0.0003513225120298,0.2363356592589801,0.355334725604322,True,9.331484856375177
DDX19A,6,-0.44340132523112846,0.6666666666666666,4,2,0.4973858993622135,0.0032017595043015,3,-1.4340069321222866,-2.872610661413912,0.06668940799119666,0.4582713789307978,,0.3487895722833417,0.7724592829440922,True,9.248692949681107
DHX58,6,-0.023185537473209044,0.6666666666666666,2,4,-0.4791767446857303,0.0001716703851709,3,1.9027302617047208,-2.572593313892055,1.657733900740373,,-0.221650163937969,-0.5359245175030803,-0.3694093919512439,True,9.239588372342865
RPS19P3,3,-1.4455852318199056,1.0,0,3,-1.2615105067485606,0.0005674763218145,3,,,,-1.5282188105273633,,-1.014358781754559,-1.7941781031777948,True,9.13075525337428
RPL22P2,3,-1.0685703625618046,1.0,0,3,-1.1837186004922868,0.0112318186217413,3,,,,-1.5947464818041108,,-1.3647885756109337,-0.2461760302703693,True,9.091859300246144
RPL32P1,2,-2.676230367306366,1.0,0,2,-2.743906294966832,3.802300647106131e-05,2,,,,,,-3.1959508243771495,-2.1565099102355823,True,9.0
RPL39P38,2,2.718066067122962,1.0,2,0,2.3143475283920334,0.012371760301122,2,,,,2.1643958906527687,,3.2717362435931556,,True,9.0
RPS7P3,2,2.144256946202822,1.0,2,0,2.4838101686565213,0.0238963061445013,2,,,,2.821588691362106,,1.4669252010435374,,True,9.0
RPL4P6,2,1.5849020042625896,1.0,2,0,1.6383807208272851,0.0318418342934969,2,,,,,,2.1744130802700607,0.9953909282551184,True,8.819190360413643
RPL10P16,3,-0.7759386371929574,1.0,0,3,-0.4952572860496885,0.0051727291760756,3,,,,-1.3775558746393448,,-0.4654604151280198,-0.4847996218115078,True,8.747628643024845
RPL15P3,3,-0.7782649662536244,1.0,0,3,-0.4812028738134505,0.0130826025324902,3,,,,-1.360066008877219,,-0.3878279668095269,-0.5869009230741276,True,8.740601436906726
RPS2P36,2,1.3610420937183463,1.0,2,0,1.4247303334523886,0.0131078727060335,2,,,,,,1.6394974159607296,1.082586771475963,True,8.712365166726194
RPL18AP3,3,-0.5119029427425426,1.0,0,3,-0.2768100557082119,0.04552226694411,3,,,,-0.9048303135379572,,-0.2377701941424994,-0.3931083205471711,True,8.638405027854105
RPL23AP53,5,-0.4486967536613079,0.6,3,2,0.6059820961373216,0.0127323323969495,2,-1.5394940543071975,-1.8734302703743564,0.26731911040963935,0.2637479025737415,,0.6383735433916337,,True,8.602991048068661
RPS4XP16,2,-0.803068841850632,1.0,0,2,-1.1303069195547533,0.0276493355306928,2,,,,-0.4282891879250743,,-1.1778484957761897,,True,8.565153459777378
RPL7P21,2,1.0676663975048406,1.0,2,0,1.0443022084066544,0.0062773871908859,2,,,,,,0.9559244546994724,1.1794083403102087,True,8.522151104203328
RPL22,7,-1.0036090250956906,1.0,0,7,-0.6390579538968327,0.1111252889984229,4,-1.2451000290893,-2.9318586673519413,-0.18765687127132175,-1.9316100662101736,-0.216473211795679,-0.1770443935637403,-0.335519936387679,False,6.819528976948416
RPL7A,7,-1.1715599502682001,1.0,0,7,-0.5833609888590681,0.0632979115217019,4,-1.7918844836653265,-2.6856990017468885,-0.1793290523775141,-2.8708626321729707,-0.267622039650519,-0.1744360844183967,-0.2310863578457867,False,6.791680494429534
RPS15,7,-1.2095235253367278,1.0,0,7,-0.574137063636307,0.1049725833800823,4,-2.207345532909174,-3.011456109875757,-0.2096132385137593,-2.14816904640535,-0.525395973777908,-0.1705575334138761,-0.1941272424612722,False,6.787068531818154
RPS5,7,-1.032177708499513,1.0,0,7,-0.5719264112383978,0.1982992689662542,4,-1.4712149115005404,-2.9081529102663155,-0.1989134093017099,-2.205590233352372,-0.320744854121773,-0.039314544686261,-0.08131309626762,False,6.785963205619199
RPS3,7,-1.0146363539424752,1.0,0,7,-0.5585235215597345,0.1046929554824374,4,-1.6871356613977482,-2.654175465161121,-0.0502635981764962,-1.9037624779309008,-0.386584933280666,-0.108138388314576,-0.3123939533358177,False,6.7792617607798675
RPLP0,7,-1.0456394728263785,1.0,0,7,-0.5565860990636843,0.0889416719941672,4,-1.1973843572621004,-2.688309248025129,-0.129019259619788,-2.350456924182879,-0.604555391557065,-0.0722702100033126,-0.2774809191343755,False,6.778293049531842
RPL14,7,-1.0183827609106033,1.0,0,7,-0.5174266935908396,0.0926900887797821,4,-1.7177417751434163,-2.904801454647814,-0.12291194994278859,-1.71696336461623,-0.332769608958677,-0.1875313492943803,-0.1459598237709178,False,6.75871334679542
RPS14,7,-0.9478755219980988,1.0,0,7,-0.5144192390595074,0.0606290941215559,4,-1.5261855886998459,-2.4652465795099716,-0.16085242535601105,-1.5379706094250634,-0.154601551353004,-0.191995821656441,-0.5982760779863542,False,6.757209619529753
RPS23,7,-1.0452712429413211,1.0,0,7,-0.5123444838119572,0.0590587209253219,4,-1.7142983526118243,-2.7367410003137076,-0.16771460407381805,-1.71333215349277,-0.372338049525405,-0.1804606981476473,-0.432013842424075,False,6.756172241905978
RPL7,7,-1.1349956008135382,1.0,0,7,-0.5086776880943996,0.0732793248210745,4,-1.7814882709768045,-3.004849883322694,-0.1866867812066333,-2.3336055056538227,-0.121405952827254,-0.2441394824849307,-0.2727933292226279,False,6.7543388440472
RPL4,7,-0.8152745170189146,1.0,0,7,-0.4666569636027757,0.1459813957567426,4,-0.6603034352190641,-2.5094830124769674,-0.15092540997961312,-1.8923327544684423,-0.205271656726949,-0.1782759394809011,-0.1103294107804655,False,6.733328481801387
RPS25,7,-1.0083931445044034,1.0,0,7,-0.4600657811832493,0.0869691985677428,4,-1.9495833394070554,-2.430046381074068,-0.13230655078272427,-1.880219891939944,-0.179354488497954,-0.2141236403241124,-0.2731177195049659,False,6.730032890591625
RPL13,7,-0.8856741226386221,1.0,0,7,-0.4550409989475471,0.0735941437446805,4,-1.2340454565219934,-2.271528324687245,-0.2112070741900285,-1.6179962634549554,-0.181125973674913,-0.1879569201082291,-0.49585884583299,False,6.727520499473774
RPL23,7,-1.10332360494854,1.0,0,7,-0.451559659821124,0.0937689460111826,4,-2.09959910991232,-2.6905772271143706,-0.17433707844581064,-2.151858986420453,-0.175866375680645,-0.2294441173962161,-0.2015823396699631,False,6.725779829910562
RPS13,7,-0.855436647405898,1.0,0,7,-0.4227009174492059,0.0550229947352884,4,-0.9807087329151775,-2.6938080444039247,-0.06680126816518211,-1.3024182717082375,-0.349538097422758,-0.1250523120656762,-0.4697298051603299,False,6.711350458724603
RPS19,7,-0.8077829044976246,1.0,0,7,-0.4092988044750373,0.106122260838477,4,-1.052693473211862,-2.215735479975727,-0.1879425758511496,-1.2733966722199173,-0.508645256857458,-0.0638651485009043,-0.3522017248663544,False,6.704649402237519
