gene,program,direction,pooled_log2FC,meta_FDR,degree,degree_centrality,betweenness_centrality,eigenvector_centrality,community,hub_score
CARHSP1,other,down,-0.897,8.515405031394529e-12,60,0.2643,0.0124,0.0742,1,0.4736842105263158
PHLPP2,other,up,1.148,2.3436873605603664e-11,69,0.304,0.0166,0.0775,0,0.47149122807017546
CDC42BPA,other,up,0.616,9.304438877354762e-16,24,0.1057,0.0031,0.0287,0,0.4692982456140351
DNER,other,up,1.012,3.4267440025198155e-25,5,0.022,0.0028,0.0022,0,0.4682017543859649
KIF4A,other,down,-1.008,5.716360863581319e-14,32,0.141,0.0006,0.0453,1,0.46710526315789475
PLXNA3,other,up,0.673,1.217269407151442e-21,7,0.0308,0.0065,0.0007,0,0.4627192982456141
PLCD1,other,down,-1.124,4.711580418828738e-13,37,0.163,0.0001,0.0499,1,0.46271929824561403
MPPED2,other,down,-1.78,2.4396315870179865e-14,28,0.1233,0.0021,0.0388,1,0.46271929824561403
SEC24D,other,up,0.568,5.3746083492030134e-17,19,0.0837,0.0017,0.0217,0,0.4605263157894737
FUBP3,other,up,0.581,2.103762147279265e-17,18,0.0793,0.0132,0.0076,0,0.4605263157894737
COL27A1,other,up,0.756,2.7201035736536006e-25,4,0.0176,0.0002,0.0006,0,0.45833333333333337
MIR22HG,other,up,1.121,2.3239496351803298e-33,0,0.0,0.0,,-1,0.44956140350877194
TFDP2,other,down,-0.618,2.688947078881745e-12,45,0.1982,0.0064,0.0626,1,0.4473684210526316
MYO19,other,up,0.658,3.962043478663904e-17,18,0.0793,0.0029,0.0066,0,0.4473684210526315
KLHL24,other,down,-1.29,2.522932762008298e-11,58,0.2555,0.0129,0.0724,1,0.4407894736842105
ZMYM3,other,down,-0.549,5.301158097879622e-12,45,0.1982,0.0037,0.0676,1,0.4385964912280702
XYLT1,other,up,0.963,6.283017104431645e-21,5,0.022,0.0,0.0038,3,0.43640350877192985
ZNF395,other,down,-1.107,2.2782926946827055e-10,70,0.3084,0.003,0.1031,1,0.4276315789473685
NUP153,other,up,0.581,9.810680889719734e-15,25,0.1101,0.0197,0.0089,0,0.4276315789473684
NLRX1,other,down,-0.663,1.2167776655016889e-12,33,0.1454,0.0004,0.0451,1,0.42653508771929827
PDK3,other,down,-0.62,4.1272019090962894e-12,41,0.1806,0.0044,0.0542,1,0.42434210526315785
CCDC85C,other,down,-0.766,2.3281499856504886e-10,68,0.2996,0.0044,0.1085,1,0.42324561403508776
TMEM39B,other,down,-0.601,3.314148020240297e-12,39,0.1718,0.0003,0.0566,1,0.42214912280701755
ACKR3,other,down,-2.546,1.221616048220713e-10,68,0.2996,0.0078,0.1005,1,0.42105263157894735
