gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,is_translation_factor
LRP8,LRP8,540.073258648717,0.65683462741396,0.173614500933808,3.78329358366433,0.0001547666813313,0.0244150392364833,True,False
ORC1,ORC1,166.058736228897,1.06051375709971,0.282360908502864,3.75588024108144,0.0001727332836573,0.0268364710700422,True,False
GNL2,GNL2,550.159833125064,0.724285744500822,0.193690321960111,3.73940079799125,0.0001844594235368,0.0282305511783052,True,False
PPAT,PPAT,186.874606800984,0.901173338985587,0.241603847544984,3.72996269779106,0.0001915081207932,0.0288782980972713,True,False
G3BP1,G3BP1,1268.51637430232,0.550976992665545,0.148215480963638,3.71740515284444,0.0002012795148868,0.0297812455094522,True,False
LOC103221995,LOC103221995,369.99263850404,-0.900106683639911,0.242707382072567,-3.70860859671252,0.0002084012786994,0.0297812455094522,True,False
LOC103221947,LOC103221947,493.56687823907,-0.922433747464677,0.248608060561263,-3.71039356238961,0.0002069372885642,0.0297812455094522,True,False
UTP15,UTP15,167.763490177932,1.04919545724175,0.28297404488739,3.70774449529206,0.0002091134851453,0.0297812455094522,True,False
MCM10,MCM10,374.621530564611,0.996094728619468,0.269020887878861,3.70266686900537,0.0002133449444064,0.0299676583553981,True,False
MAP3K20,MAP3K20,746.471568952703,0.675145409293563,0.182563612933669,3.69813786243846,0.0002171869270813,0.0300950641931392,True,False
SRSF2,SRSF2,865.95120624138,0.781465432100816,0.213841474056857,3.65441472729952,0.000257769315097,0.0352422207600733,True,False
PDSS1,PDSS1,82.4862756161334,1.08342628266274,0.297906045197557,3.6368052952543,0.0002760404266856,0.0372436649372946,True,False
LOC103224057,LOC103224057,921.962380539118,-1.17305101520499,0.324925040506395,-3.61022041692076,0.0003059369127509,0.0403886742806251,True,False
ZNF367,ZNF367,173.053634551311,1.06210461927207,0.294282895004939,3.60912794219399,0.0003072280664997,0.0403886742806251,True,False
LOC103247785,LOC103247785,979.13464026797,-0.978042131579423,0.271782752308638,-3.59861736357999,0.0003199134737038,0.0409897907345641,True,False
DNAJC2,DNAJC2,462.438219510919,0.791698192607537,0.22019257742956,3.59548083704503,0.0003237929636726,0.0409897907345641,True,False
LOC119627664,LOC119627664,67.474609619013,1.32359830683685,0.368059515273782,3.59615293698435,0.0003229579720792,0.0409897907345641,True,False
RILPL2,RILPL2,262.076893532542,-0.838875822413288,0.233891016755634,-3.58660984098304,0.0003350049868787,0.0418919650665165,True,False
TIPIN,TIPIN,150.04255326092,0.989107076012326,0.277135010548777,3.56904410616947,0.0003582861091394,0.0442634429291097,True,False
LOC103247786,LOC103247786,579.044377764938,-1.22002372799129,0.343000443989637,-3.55691588559038,0.0003752342372547,0.0456300349775561,True,False
LOC103221971,LOC103221971,139.440987180911,-1.34518820197389,0.378973229867067,-3.54955995822118,0.0003858755803297,0.0456300349775561,True,False
MTMR3,MTMR3,480.065498551488,-0.513176832657385,0.14438123869117,-3.55431798001862,0.0003789607276763,0.0456300349775561,True,False
RHOBTB1,RHOBTB1,1489.09750691448,-0.698388782777852,0.196801675248669,-3.54869328167762,0.0003871477514187,0.0456300349775561,True,False
ME1,ME1,214.790727091726,1.00834046823757,0.284579112493919,3.54326942480403,0.0003951987279886,0.0460496335999468,True,False
LOC103222004,LOC103222004,669.49512067674,-1.13628251873474,0.321011526281045,-3.53969382937336,0.0004005914794702,0.0461535396684089,True,False
RSL1D1,RSL1D1,1018.26772935291,0.701179762693517,0.198504167140647,3.53231759712484,0.0004119342975498,0.0469330476341786,True,False
LOC103221996,LOC103221996,383.380473348518,-1.04888200816532,0.297708230954556,-3.52318780304541,0.0004263891079468,0.0480460869548041,True,False
XPO5,XPO5,547.672036796629,0.54134705189115,0.154441575682468,3.50518990433095,0.0004562816932105,0.0508555704584904,False,False
GLUL,GLUL,894.577203789641,-1.62777718801804,0.46723281155505,-3.48386745913766,0.0004942241695418,0.0544922003707757,False,False
SURF2,SURF2,160.219548397174,1.00371116342825,0.288351043536491,3.48086537547496,0.0004997966304678,0.0545203686044429,False,False
PDZD8,PDZD8,1428.40434016196,0.522113182658369,0.151063967689138,3.45623903995943,0.0005477693185991,0.0591244904517426,False,False
LOC103247165,LOC103247165,727.82116214522,-0.907102145148196,0.262791923861468,-3.45178851701081,0.0005568840228558,0.0594821746912942,False,False
CTNNAL1,CTNNAL1,1086.98481507395,0.6721768661498,0.195046722727793,3.44623512125292,0.0005684555352784,0.0600921964819144,False,False
DKC1,DKC1,806.57130193128,1.06800819026583,0.310296962108339,3.44189057801004,0.0005776638665119,0.0604425029307505,False,False
PBXIP1,PBXIP1,455.71788548133,-0.753741014517622,0.219680861692827,-3.43107273300646,0.0006011993833333,0.0622696815828268,False,False
YPEL2,YPEL2,206.190883936138,-0.796801605796552,0.232961100288262,-3.42032040890348,0.0006254741904553,0.064136123489287,False,False
CCDC136,CCDC136,445.354180556853,-0.572678284469196,0.167944223549678,-3.40993141868794,0.0006497921702896,0.0659699892490068,False,False
TENM4,TENM4,530.811276969485,-0.709123426443937,0.208246113668494,-3.40521805642331,0.0006611124124287,0.066461241931811,False,False
PHACTR4,PHACTR4,1056.81456749833,-0.617750941278988,0.182264613831676,-3.38930815089257,0.0007006922053434,0.0672756155597413,False,False
SRGAP1,SRGAP1,326.02113910036,1.78614245194454,0.52786539251685,3.38370819012826,0.0007151396621817,0.0672756155597413,False,False
NMD3,NMD3,368.8000663407,0.868271818412633,0.255839087203361,3.3938200292376,0.000689249723605,0.0672756155597413,False,False
TAF1D,TAF1D,426.251363496644,1.14576299411069,0.338485627379668,3.38496793196339,0.0007118657051032,0.0672756155597413,False,False
YIPF3,YIPF3,466.485015210946,-0.714064775024193,0.21075222471411,-3.38817194453268,0.0007036014104755,0.0672756155597413,False,False
NOTCH1,NOTCH1,332.978178637144,-0.989692040918424,0.291548683468343,-3.3946030184214,0.0006872817746438,0.0672756155597413,False,False
ERBB2,ERBB2,835.174344867086,-0.72108211845166,0.212983856479972,-3.38561865847081,0.0007101799848423,0.0672756155597413,False,False
CHORDC1,CHORDC1,520.897675860721,0.682617415368138,0.202096859038091,3.37767453990703,0.0007310154451462,0.068143930677542,False,False
