gene_symbol,NTC,N4BP1,ZC3H12A,TRIM25,ZC3H12A_N4BP1,mean_log2FoldChange,direction_consistency
EIF4E2,0.7561841881463935,0.42833635227899647,0.2367674434707213,0.5026076051449342,0.13828851134362083,0.4124368200769332,1.0
EIF2AK2,0.4700218005983013,1.3339654046368645,-0.974900891344356,1.3902632751333561,-0.16644477630048166,0.41058096254473686,0.6
EIF3CL,-0.019062624505334223,0.11954577937825785,1.0892633642361012,0.2366896088882728,0.6231247025935562,0.4099121661181708,0.8
RPS6KB1,0.7576588860522416,0.22753293748640296,0.3322530419350742,0.4003857342818899,0.29624623704086994,0.4028153673592957,1.0
RPS6KC1,0.7315330619882309,0.20319576080708118,0.4704586326176381,0.4230398672546418,0.16853366170023665,0.3993521968735657,1.0
DDX54,0.7698577251629858,0.17949884737155034,0.4910682200375571,0.48959666486828807,0.05470621623695695,0.3969455347354677,1.0
DDX49,0.9779849012979911,0.2613035641324823,0.35340633469136906,0.44016619838254567,-0.07922008586360497,0.3907281825281566,0.8
RPS17,0.7647617254682025,0.08576130253877305,0.405003957519228,0.41171433394658635,0.2638944751815929,0.3862271589308765,1.0
DHX37,0.7120502872172134,0.2271755596915513,0.34792098523224596,0.5492864925961654,0.0773801115253878,0.3827626872525128,1.0
DDX24,0.7742864885398312,0.1812620053959075,0.3280922363170489,0.41500330672199315,0.1900901279859123,0.3777468329921386,1.0
DHX57,0.48597125125165536,0.27900303966175677,0.5185370233471919,0.3182627328634338,0.24176428077302944,0.3687076655794134,1.0
RPL7AP60,,,0.36829011293290903,,,0.36829011293290903,1.0
RPL17,0.9331419714168302,0.1794558223042665,0.3217674402455633,0.27641836656095,0.11023509405643457,0.3642037389168089,1.0
DHX36,0.5698752226722509,0.25075169274738945,0.36396567760835924,0.3752931029015545,0.23903727638569283,0.35978459446304945,1.0
DDX31,0.886661454357048,0.1283578974093013,0.2691273955319666,0.3203675342545923,0.15989140099281185,0.352881136509144,1.0
RPS6KA3,0.08993627609833384,0.5360066153171944,0.23673981486065443,0.6645705193995051,0.23196598492614062,0.3518438421203657,1.0
EIF2B2,0.7339615059872208,0.2699503895383478,0.3230083113971078,0.43103951894366216,-0.031235127407885328,0.3453449196916907,0.8
EIF1,0.6316786970960135,0.21092920873189597,0.20268177446252603,0.429124196068093,0.22927918848430062,0.3407386129685658,1.0
EIF3M,0.5301287830950744,0.2748611378711678,0.21415270107264536,0.41399777969072515,0.22370813526045827,0.33136970739801413,1.0
RPL36AL,0.6826155830866398,0.27920840789993756,0.2102229827253885,0.4336662107281454,0.0011359994063621264,0.3213698367692947,1.0
DHX40,0.8788738746442392,0.0688768240847845,0.23805178664214136,0.21748255773189082,0.20328437606363373,0.3213138838333379,1.0
EIF2B5,0.6676348933884555,0.07942503152501877,0.35370850159446826,0.37549112644805066,0.11274248492786117,0.31780040757677086,1.0
DDX11-AS1,-0.15705976269149374,,0.7826670595485212,,,0.3128036484285137,0.5
DDX19A,0.7724592829440922,0.13572611249860914,0.12710642689376286,0.3768044622415138,0.12523143713971688,0.307465544343539,1.0
RPL26L1,0.6750237485995894,0.059196167463592665,0.2089075957408895,0.5277584424872306,0.06210691754405988,0.3065985743670724,1.0
RPS6KB2,0.6558294417950921,0.3073317877578112,0.37315251314320286,0.2636955036801074,-0.07183758062983354,0.305634333149276,0.8
DDX20,0.7081450330081106,0.04099614110911386,0.3534919727693748,0.3201398274363679,0.06724887002733107,0.29800436887005965,1.0
RPL7AP30,0.28529359198127097,0.1472367536557122,-0.4804516175638662,0.844772990412372,0.6687493369018623,0.29312021107747027,0.8
DDX23,0.5484906643028905,0.241007202298596,0.2861539220895194,0.2923268510377776,0.08688957830524062,0.29097364360680483,1.0
RPL36AP26,0.1993626944911294,0.28651645507117307,1.6892322913288302,-0.1424788184071631,-0.6150977496642644,0.283506974563941,0.6
RPL22P24,0.07830284680822178,-0.16843623038844768,0.24475374855450996,1.0187779456182953,0.23956862122716138,0.28259338636394815,0.8
DDX60,0.14664385967395252,1.6094239599458768,-1.2357511039439242,1.2416304458094565,-0.40931809102818034,0.2705258140914363,0.6
RPL36A,0.47822379304533663,0.26760676143791046,0.07407418877504926,0.3312276825434882,0.16368552850634813,0.2629635908616265,1.0
RPS12P3,0.40678106227088084,0.5989820049636548,0.3559304831789568,-0.6226902241870685,0.5360222909314634,0.25500512343157744,0.8
RPL5P17,0.23516213861258906,,,,0.25229889956116414,0.2437305190868766,1.0
DHX29,0.5018737298333306,0.2230531652701476,0.2795536490433009,0.05378669053434823,0.1573006940845788,0.24311358575314124,1.0
DHX38,0.5304233628968107,0.11712949364898771,0.2880396610947531,0.29297290817741956,-0.04166271394783476,0.23738054237402725,0.8
RPL15P2,-1.3206950436687759,-0.508992582208527,0.6286763746740219,1.318309410805332,1.0653500671288212,0.2365296453461745,0.6
